sensor-consumer-1  | 2026-09-21T21:53:30.761541149Z 2026-09-21 21:53:30.760 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=128 ATENCAO:temperatura=99.91(limite=80.00)
sensor-consumer-1  | 2026-09-21T21:53:31.767182571Z 2026-09-21 21:53:31.766 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=130 alertas=15 invalidas=0 particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T21:53:32.272824133Z 2026-09-21 21:53:32.272 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=131 ATENCAO:vibracao=10.36(limite=7.00)
sensor-consumer-1  | 2026-09-21T21:53:34.768227257Z 2026-09-21 21:53:34.767 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=136 ATENCAO:energia=626.73(limite=500.00)
sensor-consumer-1  | 2026-09-21T21:53:36.781381594Z 2026-09-21 21:53:36.780 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=141 alertas=17 invalidas=0 particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T21:53:40.784713806Z 2026-09-21 21:53:40.784 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=148 ATENCAO:vibracao=9.09(limite=7.00)
sensor-consumer-1  | 2026-09-21T21:53:41.783413455Z 2026-09-21 21:53:41.782 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=151 alertas=18 invalidas=0 particoes=[1, 4]
sensor-consumer-2  | 2026-09-21T22:06:11.167862986Z 2026-09-21 22:06:11.167 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-5f3b04119deb RECEBEU particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T21:53:47.283554720Z 2026-09-21 21:53:47.283 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=162 alertas=18 invalidas=0 particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T21:53:47.783704968Z 2026-09-21 21:53:47.783 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=162 ATENCAO:temperatura=96.13(limite=80.00)
sensor-consumer-1  | 2026-09-21T21:53:48.791828117Z 2026-09-21 21:53:48.791 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=164 ATENCAO:temperatura=90.48(limite=80.00)
sensor-consumer-1  | 2026-09-21T21:53:49.787164561Z 2026-09-21 21:53:49.786 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=166 ATENCAO:vibracao=11.38(limite=7.00)
sensor-consumer-1  | 2026-09-21T21:53:52.779518827Z 2026-09-21 21:53:52.779 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=173 alertas=21 invalidas=0 particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T21:53:54.782442302Z 2026-09-21 21:53:54.782 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=176 ATENCAO:energia=698.05(limite=500.00)
sensor-consumer-1  | 2026-09-21T21:53:57.794949434Z 2026-09-21 21:53:57.794 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=183 alertas=22 invalidas=0 particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T21:54:00.793483781Z 2026-09-21 21:54:00.792 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=188 ATENCAO:energia=669.20(limite=500.00)
sensor-consumer-1  | 2026-09-21T21:54:02.797828767Z 2026-09-21 21:54:02.797 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=193 alertas=23 invalidas=0 particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T21:54:07.816268630Z 2026-09-21 21:54:07.810 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=203 alertas=23 invalidas=0 particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T21:54:13.307249046Z 2026-09-21 21:54:13.306 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=214 alertas=23 invalidas=0 particoes=[1, 4]
sensor-consumer-3  | 2026-09-21T22:06:34.738650900Z 2026-09-21 22:06:34.738 WARN RegistroAlertas - [ALERTA] sensor=sensor-9caa6b672dc8 setor=linha-producao particao=3 offset=1695 ATENCAO:vibracao=9.63(limite=7.00)
sensor-consumer-3  | 2026-09-21T22:06:35.735377851Z 2026-09-21 22:06:35.734 INFO SensorConsumer - [STATS] consumidor=consumidor-07b7cd127114 processadas=100 alertas=12 invalidas=0 particoes=[0, 3]
sensor-consumer-3  | 2026-09-21T22:06:37.717731881Z 2026-09-21 22:06:37.717 WARN RegistroAlertas - [ALERTA] sensor=sensor-482f699b5e27 setor=linha-producao particao=0 offset=1700 ATENCAO:energia=597.58(limite=500.00)
sensor-consumer-3  | 2026-09-21T22:06:40.219176050Z 2026-09-21 22:06:40.218 WARN RegistroAlertas - [ALERTA] sensor=sensor-482f699b5e27 setor=linha-producao particao=0 offset=1705 CRITICO:temperatura=103.70(limite=80.00)
sensor-consumer-2  | 2026-09-21T22:06:12.001979355Z 2026-09-21 22:06:12.000 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=1649 ATENCAO:vibracao=9.56(limite=7.00)
sensor-consumer-2  | 2026-09-21T22:06:12.990319128Z 2026-09-21 22:06:12.989 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=1651 ATENCAO:vibracao=9.23(limite=7.00)
sensor-consumer-2  | 2026-09-21T22:06:13.984178714Z 2026-09-21 22:06:13.983 INFO SensorConsumer - [STATS] consumidor=consumidor-5f3b04119deb processadas=126 alertas=10 invalidas=0 particoes=[1, 4]
sensor-consumer-2  | 2026-09-21T22:06:18.990313199Z 2026-09-21 22:06:18.989 INFO SensorConsumer - [STATS] consumidor=consumidor-5f3b04119deb processadas=136 alertas=10 invalidas=0 particoes=[1, 4]
sensor-consumer-2  | 2026-09-21T22:06:20.505711996Z 2026-09-21 22:06:20.504 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=1666 CRITICO:temperatura=105.65(limite=80.00)
sensor-consumer-2  | 2026-09-21T22:06:23.493341947Z 2026-09-21 22:06:23.492 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=1672 ATENCAO:energia=675.82(limite=500.00)
sensor-consumer-2  | 2026-09-21T22:06:24.004515979Z 2026-09-21 22:06:24.003 INFO SensorConsumer - [STATS] consumidor=consumidor-5f3b04119deb processadas=146 alertas=12 invalidas=0 particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T21:54:15.321405283Z 2026-09-21 21:54:15.320 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=217 ATENCAO:energia=666.22(limite=500.00)
sensor-consumer-1  | 2026-09-21T21:54:15.810531611Z 2026-09-21 21:54:15.809 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=218 CRITICO:temperatura=106.29(limite=80.00)
sensor-consumer-1  | 2026-09-21T21:54:16.311638310Z 2026-09-21 21:54:16.311 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=219 ATENCAO:energia=659.97(limite=500.00)
