sensor-producer-1  | 2026-09-21T21:56:32.200290480Z 2026-09-21 21:56:32.198 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=491 entregues=490 falhas=0
sensor-producer-1  | 2026-09-21T21:56:37.204855939Z 2026-09-21 21:56:37.204 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=501 entregues=500 falhas=0
sensor-producer-1  | 2026-09-21T21:56:42.210751346Z 2026-09-21 21:56:42.209 INFO SensorProducer - [STATS] sensor=sensor-482f699b5e27 setor=linha-producao enviadas=511 entregues=510 falhas=0
sensor-producer-2  | 2026-09-21T21:56:26.716336689Z 2026-09-21 21:56:26.715 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=481 entregues=480 falhas=0
sensor-producer-2  | 2026-09-21T21:56:31.722928408Z 2026-09-21 21:56:31.722 INFO SensorProducer - [STATS] sensor=sensor-9caa6b672dc8 setor=linha-producao enviadas=491 entregues=490 falhas=0
sensor-producer-3  | 2026-09-21T21:54:16.785149505Z 2026-09-21 21:54:16.784 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=221 entregues=220 falhas=0
sensor-producer-3  | 2026-09-21T21:54:21.789238197Z 2026-09-21 21:54:21.788 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=231 entregues=230 falhas=0
sensor-producer-3  | 2026-09-21T21:54:26.794343892Z 2026-09-21 21:54:26.793 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=241 entregues=240 falhas=0
sensor-producer-3  | 2026-09-21T21:54:31.799644023Z 2026-09-21 21:54:31.799 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=251 entregues=250 falhas=0
sensor-producer-3  | 2026-09-21T21:54:36.805176844Z 2026-09-21 21:54:36.804 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=261 entregues=260 falhas=0
sensor-producer-3  | 2026-09-21T21:54:41.811891081Z 2026-09-21 21:54:41.810 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=271 entregues=270 falhas=0
sensor-producer-3  | 2026-09-21T21:54:46.816326979Z 2026-09-21 21:54:46.815 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=281 entregues=280 falhas=0
sensor-producer-3  | 2026-09-21T21:54:51.818338170Z 2026-09-21 21:54:51.817 INFO SensorProducer - [STATS] sensor=sensor-ecea9084327b setor=linha-producao enviadas=291 entregues=290 falhas=0
